fmid,latitude,longitude
1003914,45.636802,-109.253283
1003906,45.669815,-108.771429
1004529,45.7825,-108.508
1008181,45.779808,-108.501459
1006339,45.7372,-107.606
1006282,46.293208,-107.233171
1006932,44.260261,-105.507116
1004790,35.374127,-105.450125
1000777,44.1085,-104.624
1004920,42.7619,-104.453
1000776,43.8547,-104.205
1000765,42.065464,-104.184304
1003505,42.0455,-104.145
1000764,42.0455,-104.145
1000416,46.9193000793457,-104.006118774414
1000580,41.962937,-103.912897
1003373,44.5179,-103.872
1004186,44.5161,-103.87
1005036,44.4961,-103.864
1004315,41.8645,-103.663
1007369,40.2549432,-103.6352521
1006064,44.4156382,-103.515522
1001790,46.183062,-103.394906
1004533,36.4492,-103.183
1002700,41.671274,-103.099692
1000891,42.8278,-103.001
1002241,41.1305,-102.977
1002964,42.0971,-102.871
1004208,46.905,-102.793
1002712,42.7202,-102.459
1001444,42.8063,-102.203
1005378,43.428739,-102.179396
1007189,35.8503,-101.966
1007378,35.19962,-101.8762
1001011,46.40362,-101.845222
1004926,41.1267055,-101.7182311
1006358,38.48111,-101.3585
1000871,41.1563,-101.131
1006167,46.041389,-100.92513
1007418,37.0388,-100.922
1001913,46.8836,-100.911
1001020,46.7649,-100.846
1002128,46.8063,-100.784
1003526,46.835,-100.772
1003527,46.7949,-100.753
1004883,40.1986,-100.626
1008241,42.8667549,-100.5420414
1000806,39.820469,-100.528829
1003650,40.6311,-100.515
1004444,44.36603,-100.3524
1002349,44.3627,-100.339
1000401,45.9028,-100.302
1003633,40.8595,-99.9859
1001427,40.8938,-99.9578
1005373,39.8249,-99.8844
1003114,42.5458,-99.8647
1004361,40.7788,-99.7361
20267,40.7374,-99.5378
1008238,42.585647,-99.537561
1002016,40.129,-99.4498
1000883,44.512836,-99.440728
20340,36.4315,-99.3958
1004284,36.4349,-99.3906
1006964,46.0344,-99.3684
1000943,40.4526,-99.3646
1006816,40.1008,-99.3625
1002374,43.8176,-99.3279
1007007,41.7817,-99.1332
1005812,46.8917,-99.1179
1002718,43.4732,-99.1158
1006400,35.0256,-99.0931
1008693,40.683037,-99.085738
1005806,40.720985,-99.0851
1008689,40.724783,-99.081435
1002190,40.4998,-98.953
20065,46.3014,-98.9491
1007759,40.4994,-98.9463
1002247,41.599928,-98.931649
1001360,41.0247,-98.9127
1004173,35.5271,-98.7092
1002003,46.910544,-98.708436
1001733,36.8083,-98.6602
1005416,41.0012149,-98.6045866
1002947,45.4631,-98.4866
1008248,40.600675,-98.389644
1005701,40.585604,-98.38922
1006369,46.355295,-98.285601
1003021,44.363094,-98.234082
1003767,38.3467,-98.2103
1002806,43.898836,-98.136256
1000434,37.1521,-98.038
1003106,42.1286,-98.0298
1008095,37.286706,-98.024686
1006398,42.4067,-98.0098
1003304,40.8587442,-97.9965419
1006397,42.336917,-97.970638
1001261,35.050899,-97.941482
1007346,38.0545,-97.9339
1003617,36.4343,-97.8774
1005513,40.6055,-97.8595
1003645,35.2908,-97.8147
1008437,40.310193,-97.813151
1008435,40.311749,-97.810674
1006834,37.62912,-97.781571
1003904,45.795731,-97.754567
1007047,36.8091,-97.7363
1000649,35.3915,-97.7159
1006322,46.4385,-97.6814
1002584,38.3736,-97.6736
