county,total,popestimate2014,market_per_capita
Hamilton,1,19746227,0
Gooding,1,1634464,0
Cross,1,2966369,0
Prince William,5,8326289,0
Clinton,1,6063589,0
Monmouth,3,8938175,0
Hillsborough,15,1326813,0
Williamson,3,12880580,0
Lucas,2,3107126,0
Colusa,1,38802500,0
McKinley,3,2085572,0
,6,5457173,0
MONROE,1,4849377,0
Jefferson,3,4649676,0
Harper,2,2904021,0
King and Queen,1,8326289,0
Taylor,1,4413457,0
Scott,4,3107126,0
San Juan,1,7061530,0
Keokuk,1,3107126,0
Richland,6,11594163,0
Vance,2,9943964,0
Lamb,1,26956958,0
Wyoming,1,12787209,0
Reno,1,2904021,0
Dallas,3,3107126,0
Jasper,1,26956958,0
Beaverhead,1,1023579,0
Mercer,6,8938175,0
Putnam,1,6063589,0
Sullivan,3,1326813,0
Union,1,11594163,0
Surry,2,9943964,0
Jefferson,5,5355866,0
Marin,5,38802500,0
Griggs,1,739482,0
Culpeper,1,8326289,0
Cedar,3,3107126,0
Lawrence,1,12787209,0
Calhoun,2,1850326,0
Charlottesville,3,8326289,0
Brown,1,26956958,0
Converse,1,584153,0
Iberia,1,4649676,0
Rockingham,12,1326813,0
Galveston,2,26956958,0
Lowndes,1,4849377,0
DeKalb,1,6549352,0
Ransom,2,739482,0
Allen,1,2904021,0
Niobrara,1,584153,0
Boone,10,6063589,0
Madison Parish,1,4649676,0
Winston,1,4849377,0
Crawford,1,11594163,0
Lassen,1,38802500,0
Hanover,3,8326289,0
Humboldt,12,38802500,0
LaGrange,1,6596855,0
Trigg,1,4413457,0
Cherry,1,1881503,0
White Pine,1,2839099,0
Benton,3,3107126,0
St. Tammany,2,4649676,0
,4,626562,0
Milwaukee,15,5757564,0
Harrison,1,6596855,0
Itawamba,2,2994079,0
Broome,5,19746227,0
Lancaster,1,8326289,0
Lincoln,1,7061530,0
Lawrence,3,853175,0
Island,3,7061530,0
Nowata,1,3878051,0
Anoka,4,5457173,0
Toole,1,1023579,0
Douglas County,1,3970239,0
Carteret,1,9943964,0
San Mateo,7,38802500,0
Summit,1,2942902,0
Callaway,2,6063589,0
Marion,1,2966369,0
Rockingham,3,9943964,0
Manassas,2,8326289,0
Boone,1,3107126,0
Jackson,2,2994079,0
Lafayette,7,6063589,0
Neosho,1,2904021,0
Johnson,2,2966369,0
Dale,2,4849377,0
Grayson,1,26956958,0
Cache,1,2942902,0
Morgan,2,6596855,0
Gibson,1,6596855,0
Van Buren,3,3107126,0
Orange,2,6596855,0
Atlantic,3,8938175,0
Harrison,5,2994079,0
Warren,4,11594163,0
Montgomery,2,6549352,0
Gwinnett,4,10097343,0
Avery County,1,9943964,0
Harford,1,5976407,0
Lawrence,1,2966369,0
Clermont,2,11594163,0
McKean,2,12787209,0
Spencer,1,4413457,0
Garfield,2,5355866,0
Bastrop,2,26956958,0
Kandiyohi County,1,5457173,0
Lancaster,4,1881503,0
Hennepin County,1,5457173,0
Bureau,1,12880580,0
Stanly,1,9943964,0
Bottineau,1,739482,0
White,1,6549352,0
Wayne,1,9943964,0
Jasper,1,4832482,0
Van Buren,5,9909877,0
Plumas,1,38802500,0
Lake,5,6596855,0
Yellowstone,3,1023579,0
Durham,4,9943964,0
Kings,2,38802500,0
Harrison,1,6063589,0
Osceola,2,9909877,0
Logan,1,1850326,0
Rock,6,5757564,0
Dunn,1,739482,0
Coahoma,1,2994079,0
Jefferson,1,3970239,0
Grand,1,5355866,0
Lewis,1,6549352,0
Frederick,13,5976407,0
Apache,1,6731484,0
Stone County,1,2994079,0
St. Charles,4,6063589,0
Monroe,2,5757564,0
Scott,1,2966369,0
Morris,7,8938175,0
Madison,3,1881503,0
Buncombe,12,9943964,0
Cowley,1,2904021,0
Champaign,5,12880580,0
Lincoln,2,1881503,0
Pierce,8,7061530,0
Wilson,1,6549352,0
Knox,5,6549352,0
Oregon,1,6063589,0
Luna,1,2085572,0
Harvey,2,2904021,0
Flathead,4,1023579,0
Tift,3,10097343,0
Box Butte,1,1881503,0
Decatur,1,2904021,0
Marion,10,6596855,0
Polk,1,26956958,0
Rutland,5,626562,0
Ritchie,1,1850326,0
Estill,1,4413457,0
Washington,12,3970239,0
,4,2839099,0
Bedford,3,8326289,0
Floyd,1,8326289,0
Essex,1,8326289,0
Bibb,1,4849377,0
Hampshire,7,6745408,0
Rutherford County,1,6549352,0
Matanuska-Susitna,4,736732,0
Fairfield,2,11594163,0
Alameda,28,38802500,0
Marshall,1,5457173,0
Allen,1,4649676,0
Polk,1,19893297,0
Washington,1,12880580,0
Prince George's,7,5976407,0
Lee,2,4849377,0
Adams,1,739482,0
Johnston,3,9943964,0
Anchorage,6,736732,0
,3,739482,0
Grady,2,3878051,0
Paulding,2,10097343,0
MERCED,1,38802500,0
Santa Rosa,1,19893297,0
Santa Clara,9,38802500,0
Lincoln,2,5457173,0
Granville,3,9943964,0
Union,2,12880580,0
Moore,2,9943964,0
Delta,1,5355866,0
Wichita,2,2904021,0
Lewis,1,1850326,0
Clinton,1,6596855,0
Hudson,1,8938175,0
Dona Ana,1,2085572,0
Barton,1,6063589,0
Orange County,1,19746227,0
Osborne,1,2904021,0
,29,8326289,0
Roanoke,4,8326289,0
Platte County,1,6063589,0
Jefferson,1,1881503,0
Lake,8,38802500,0
Forsyth,2,10097343,0
Hernando,1,19893297,0
Baraga,1,9909877,0
Morgan,1,5355866,0
Worcester,44,6745408,0
Calhoun,5,9909877,0
Hart,1,4413457,0
Albany,3,584153,0
MOBILE,1,4849377,0
Placer,18,38802500,0
Johnson,4,6063589,0
Walker,1,4849377,0
Gasconade,3,6063589,0
Lawrence,2,6596855,0
Schuyler,1,12880580,0
La Plata,1,5355866,0
Lincoln,1,2994079,0
Riverside,13,38802500,0
HENRY,2,4849377,0
Albany,10,19746227,0
KERN,5,38802500,0
Nodaway,1,6063589,0
Ashland,2,11594163,0
Madison,1,19893297,0
Polk,3,5457173,0
McCurtain,2,3878051,0
Henderson,2,9943964,0
Dallas,5,26956958,0
LOS ANGELES,3,38802500,0
Clarion,1,12787209,0
