state,total,market_per_capita
Montana,1,1023579
Georgia,1,10097343
Arkansas,1,2966369
Mississippi,1,2994079
Oklahoma,1,3878051
Colorado,1,5355866
Texas,1,26956958
Tennessee,1,6549352
Virginia,1,8326289
Rhode Island,1,1055173
Kentucky,1,4413457
North Carolina,1,9943964
Mississippi,1,2994079
North Dakota,1,739482
Tennessee,1,6549352
Kentucky,1,4413457
Kentucky,1,4413457
New York,1,19746227
Colorado,1,5355866
Nebraska,1,1881503
Alabama,1,4849377
West Virginia,1,1850326
Colorado,1,5355866
Arkansas,1,2966369
Virginia,1,8326289
Virginia,1,8326289
Nebraska,1,1881503
California,1,38802500
Florida,1,19893297
North Carolina,1,9943964
Washington,1,7061530
Iowa,1,3107126
Texas,1,26956958
Mississippi,1,2994079
Indiana,1,6596855
Wisconsin,1,5757564
Tennessee,1,6549352
Virginia,1,8326289
Pennsylvania,1,12787209
Minnesota,1,5457173
Arkansas,1,2966369
Washington,1,7061530
Texas,1,26956958
Alabama,1,4849377
Kansas,1,2904021
New Mexico,1,2085572
Florida,1,19893297
Virginia,1,8326289
South Carolina,1,4832482
Idaho,1,1634464
Oklahoma,1,3878051
Iowa,1,3107126
Wisconsin,1,5757564
Illinois,1,12880580
Iowa,1,3107126
Kentucky,1,4413457
Idaho,1,1634464
Nebraska,1,1881503
Missouri,1,6063589
North Dakota,1,739482
Florida,1,19893297
North Carolina,1,9943964
Kentucky,1,4413457
Kansas,1,2904021
Kansas,1,2904021
Missouri,1,6063589
Montana,1,1023579
West Virginia,1,1850326
Missouri,1,6063589
West Virginia,1,1850326
Kansas,1,2904021
Texas,1,26956958
Alabama,1,4849377
Minnesota,1,5457173
Indiana,1,6596855
Kansas,1,2904021
West Virginia,1,1850326
Colorado,1,5355866
Connecticut,1,3596677
California,1,38802500
North Dakota,1,739482
Arkansas,1,2966369
New York,1,19746227
Arkansas,1,2966369
North Carolina,1,9943964
Illinois,1,12880580
Maryland,1,5976407
Kansas,1,2904021
Oklahoma,1,3878051
North Carolina,1,9943964
Illinois,1,12880580
New York,1,19746227
North Dakota,1,739482
Arkansas,1,2966369
Tennessee,1,6549352
Virginia,1,8326289
Montana,1,1023579
Arkansas,1,2966369
Kentucky,1,4413457
South Carolina,1,4832482
Montana,1,1023579
Oklahoma,1,3878051
Washington,1,7061530
Texas,1,26956958
South Carolina,1,4832482
Virginia,1,8326289
Missouri,1,6063589
Illinois,1,12880580
Missouri,1,6063589
Utah,1,2942902
Iowa,1,3107126
Kansas,1,2904021
Washington,1,7061530
Illinois,1,12880580
Illinois,1,12880580
Colorado,1,5355866
Louisiana,1,4649676
West Virginia,1,1850326
Mississippi,1,2994079
North Carolina,1,9943964
Wisconsin,1,5757564
Wisconsin,1,5757564
Virginia,1,8326289
North Carolina,1,9943964
Virginia,1,8326289
Tennessee,1,6549352
Nebraska,1,1881503
North Carolina,1,9943964
Tennessee,1,6549352
Minnesota,1,5457173
Virginia,1,8326289
Iowa,1,3107126
Kentucky,1,4413457
Kentucky,1,4413457
West Virginia,1,1850326
Texas,1,26956958
Michigan,1,9909877
Minnesota,1,5457173
Wisconsin,1,5757564
Ohio,1,11594163
